id_usuario,nombres,apellidos,tipo_documento,numero_documento,correo,telefono,celular,estado_usuario,id_rol,id_detalle_residente,propietario,apartamento,torre,residente_activo,id_reserva,hora_inicio,hora_fin,estado_reserva,fecha_uso,observacion_reserva,forma_pago,valor_pago,placa,tipo_vehiculo,vehiculo_activo,documentos_vehiculo,id_parqueadero,numero_parqueadero,comunal,estado_parqueadero,id_sorteo,tipo_residente_propietario,fecha_inicio_sorteo,hora_sorteo,estado_sorteo,id_correspondencia,tipo_correspondencia,descripcion_correspondencia,fecha_registro,id_paquete,torre_paquete,apartamento_paquete,descripcion_paquete,fecha_recepcion,fecha_entrega,id_novedad,descripcion_novedad,fecha_novedad,observacion_extra1,observacion_extra2
1,Carlos,Martínez,CE,1235057,carlos.martínez@mail.com,3193254078,3859131464,Activo,1,1,False,146,19,False,1,22:00:34,00:00:34,Aprobada,2025-11-25,Observación ejemplo,Transferencia,481484.2,DEF916,Carro,True,True,1,20,False,False,1,True,2026-01-14,22:00:34,False,1,Recibo,Descripción ejemplo,2025-11-13 22:00:34.006246,1,20,103,Paquete ejemplo,2025-11-10 22:00:34.006249,2025-11-11 22:00:34.006249,1,Novedad ejemplo,2025-11-06 22:00:34.006253,Obs extra 1,Obs extra 2
2,Sofía,Torres,CE,1030468,sofía.torres@mail.com,3395717375,3547024491,Inactivo,2,2,False,215,15,True,2,22:00:34,00:00:34,Aprobada,2025-12-16,Observación ejemplo,Transferencia,134031.35,GHI372,Moto,False,False,2,40,True,False,2,False,2026-01-11,22:00:34,True,2,Recibo,Descripción ejemplo,2025-11-19 22:00:34.006313,2,15,391,Paquete ejemplo,2025-11-17 22:00:34.006315,2025-11-20 22:00:34.006315,2,Novedad ejemplo,2025-11-19 22:00:34.006326,Obs extra 1,Obs extra 2
3,Pedro,Gómez,Pasaporte,4155090,pedro.gómez@mail.com,3460011153,3348793604,Inactivo,3,3,False,166,18,True,3,22:00:34,00:00:34,Aprobada,2025-11-24,Observación ejemplo,Transferencia,399402.61,GHI888,Carro,False,True,3,25,False,False,3,True,2025-11-28,22:00:34,True,3,Recibo,Descripción ejemplo,2025-10-23 22:00:34.006391,3,9,226,Paquete ejemplo,2025-11-10 22:00:34.006393,2025-11-11 22:00:34.006393,3,Novedad ejemplo,2025-11-16 22:00:34.006401,Obs extra 1,Obs extra 2
4,Luis,García,CC,1314864,luis.garcía@mail.com,3838170845,3351514547,Activo,1,4,False,333,17,False,4,22:00:34,00:00:34,Aprobada,2025-12-12,Observación ejemplo,Efectivo,466056.59,GHI978,Carro,True,False,4,37,False,False,4,,2025-11-30,22:00:34,False,4,Recibo,Descripción ejemplo,2025-10-31 22:00:34.006464,4,5,351,Paquete ejemplo,2025-11-15 22:00:34.006468,2025-11-18 22:00:34.006468,4,Novedad ejemplo,2025-11-19 22:00:34.006474,Obs extra 1,Obs extra 2
5,Carlos,Torres,Pasaporte,8574054,carlos.torres@mail.com,3934721231,3340915492,Activo,1,5,False,279,3,True,5,22:00:34,00:00:34,Rechazada,2025-11-25,Observación ejemplo,Transferencia,408933.88,DEF208,Moto,False,True,5,96,True,True,5,False,2026-01-01,22:00:34,False,5,Recibo,Descripción ejemplo,2025-11-17 22:00:34.006581,5,18,228,Paquete ejemplo,2025-11-17 22:00:34.006586,2025-11-19 22:00:34.006586,5,Novedad ejemplo,2025-11-16 22:00:34.006592,Obs extra 1,Obs extra 2
6,Carlos,Ramírez,TI,2867893,carlos.ramírez@mail.com,3205698703,3980360947,Activo,2,6,True,416,4,False,6,22:00:34,00:00:34,Aprobada,2025-11-28,Observación ejemplo,Transferencia,83566.62,GHI517,Moto,True,True,6,86,False,True,6,True,2026-01-16,22:00:34,False,6,Recibo,Descripción ejemplo,2025-11-08 22:00:34.006657,6,7,455,Paquete ejemplo,2025-11-11 22:00:34.006659,2025-11-12 22:00:34.006659,6,Novedad ejemplo,2025-11-12 22:00:34.006663,Obs extra 1,Obs extra 2
7,Pedro,Martínez,CC,8364684,pedro.martínez@mail.com,3225501703,3785151056,Activo,2,7,True,343,13,True,7,22:00:34,00:00:34,Aprobada,2025-11-21,Observación ejemplo,Transferencia,139186.25,DEF639,Moto,False,False,7,88,False,False,7,False,2025-11-26,22:00:34,False,7,Recibo,Descripción ejemplo,2025-11-14 22:00:34.006698,7,3,363,Paquete ejemplo,2025-11-16 22:00:34.006700,2025-11-17 22:00:34.006700,7,Novedad ejemplo,2025-11-17 22:00:34.006703,Obs extra 1,Obs extra 2
8,Luis,Pérez,CC,8670355,luis.pérez@mail.com,3662316435,3180014985,Activo,3,8,True,484,11,True,8,22:00:34,00:00:34,En espera,2025-11-21,Observación ejemplo,Transferencia,304728.4,XYZ422,Carro,True,False,8,62,False,True,8,,2025-12-26,22:00:34,False,8,Recibo,Descripción ejemplo,2025-11-13 22:00:34.006745,8,10,401,Paquete ejemplo,2025-11-13 22:00:34.006747,2025-11-15 22:00:34.006747,8,Novedad ejemplo,2025-11-18 22:00:34.006751,Obs extra 1,Obs extra 2
9,Pedro,López,Pasaporte,2833908,pedro.lópez@mail.com,3113994384,3152132838,Activo,2,9,True,208,14,False,9,22:00:34,00:00:34,Rechazada,2025-12-03,Observación ejemplo,Transferencia,220679.63,ABC176,Moto,False,True,9,71,False,False,9,,2025-12-19,22:00:34,True,9,Recibo,Descripción ejemplo,2025-11-04 22:00:34.006805,9,20,174,Paquete ejemplo,2025-11-17 22:00:34.006809,2025-11-22 22:00:34.006809,9,Novedad ejemplo,2025-11-18 22:00:34.006812,Obs extra 1,Obs extra 2
10,Diego,García,TI,7822465,diego.garcía@mail.com,3121332538,3381296018,Inactivo,3,10,False,225,3,False,10,22:00:34,00:00:34,En espera,2025-11-27,Observación ejemplo,Efectivo,90414.93,XYZ276,Moto,False,True,10,1,False,True,10,True,2026-01-08,22:00:34,True,10,Recibo,Descripción ejemplo,2025-10-27 22:00:34.006847,10,9,414,Paquete ejemplo,2025-11-14 22:00:34.006849,2025-11-16 22:00:34.006849,10,Novedad ejemplo,2025-11-15 22:00:34.006852,Obs extra 1,Obs extra 2
